REFKEY	TITLE	TITLE2	AUTHORS	AUTHORS2	JOURNAL	VOLUME	YEAR	PAGES	JNUM	PMID
87870	Dietary zinc deficiency enhances esophageal cell proliferation and N-nitrosomethylbenzylamine (NMBA)-induced esophageal tumor incidence in C57BL/6 mouse.		Fong LY; Magee PN		Cancer Lett	143	1999	63-9	J:57140	10465339
87871	Evaluation of the transgenic p53+/- mouse for detecting genotoxic liver carcinogens in a short-term bioassay.		Dass SB; Bucci TJ; Heflich RH; Casciano DA		Cancer Lett	143	1999	81-5	J:57142	10465341
87872	Chemopreventive activity of celecoxib, a specific cyclooxygenase-2 inhibitor, and indomethacin against ultraviolet light-induced skin carcinogenesis.		Fischer SM; Lo HH; Gordon GB; Seibert K; Kelloff G; Lubet RA; Conti CJ		Mol Carcinog	25	1999	231-40	J:57157	10449029
87873	Mammalian heparanase: Gene cloning, expression and function in tumor progression and metastasis.		Vlodavsky I; Friedmann Y; Elkin M; Aingorn H; Atzmon R; IshaiMichaeli R; Bitan M; Pappo O; Peretz T; Michal I; Spector L; Pecker I		Nat Med	5	1999	793-802	J:57195	10395325
87874	Alterations of oncogenes, tumor suppressor genes and growth factors in hepatocellular carcinoma: with relation to tumor size and invasiveness.		Zhaoyou T; Qin L; Wang X; Zhou G; Liao Y; Weng Y; Jiang X; Lin Z; Liu K; Ye S		Chin Med J (Engl)	111	1998	313-8	J:57200	10374394
87875	Genetic fusion of chemokines to a self tumor antigen induces protective, T-cell dependent antitumor immunity [see comments]		Biragyn A; Tani K; Grimm MC; Weeks S; Kwak LW		Nat Biotechnol	17	1999	253-8	J:57181	10096292
87876	Four new colon cancer susceptibility loci, Scc6 to Scc9 in the mouse.		van Wezel T; Ruivenkamp CA; Stassen AP; Moen CJ; Demant P		Cancer Res	59	1999	4216-8	J:57235	10485458
87877	Osteonectin promotes prostate cancer cell migration and invasion: a possible mechanism for metastasis to bone.		Jacob K; Webber M; Benayahu D; Kleinman HK		Cancer Res	59	1999	4453-7	J:57274	10485497
87878	Anti-tumor-promoting activity of a polyphenolic fraction isolated from grape seeds in the mouse skin two-stage initiation-promotion protocol and identification of procyanidin B5-3'-gallate as the most effective antioxidant constituent.		Zhao J; Wang J; Chen Y; Agarwal R		Carcinogenesis	20	1999	1737-45	J:57290	10469619
87879	Cooperative alterations of Rb pathway regulators in mouse primary T cell lymphomas.		Perez de Castro IP; Malumbres M; Santos J; Pellicer A; Fernandez-Piqueras J		Carcinogenesis	20	1999	1675-82	J:57291	10469610
87880	Transgenic expression of human MGMT blocks the hypersensitivity of PMS2-deficient mice to low dose MNU thymic lymphomagenesis.		Qin X; Zhou H; Liu L; Gerson SL		Carcinogenesis	20	1999	1667-73	J:57292	10469609
87881	Induction of melanoma in TPras transgenic mice.		Broome Powell M; Gause PR; Hyman P; Gregus J; Lluria-Prevatt M; Nagle R; Bowden GT		Carcinogenesis	20	1999	1747-53	J:57280	10469620
87882	CYP1A2 is not the primary enzyme responsible for 4-aminobiphenyl-induced hepatocarcinogenesis in mice.		Kimura S; Kawabe M; Ward JM; Morishima H; Kadlubar FF; Hammons GJ; Fernandez-Salguero P; Gonzalez FJ		Carcinogenesis	20	1999	1825-30	J:57281	10469630
87883	A multihit, multistage model of chemical carcinogenesis.		Owens DM; Wei S; Smart RC		Carcinogenesis	20	1999	1837-44	J:57282	10469632
87884	Induction of cyclin-dependent kinase inhibitors and G(1) prolongation by the chemopreventive agent N-acetylcysteine.		Liu M; Wikonkal NM; Brash DE		Carcinogenesis	20	1999	1869-72	J:57283	10469636
87885	Dose-dependent mutation profile in the c-Ha-ras proto-oncogene of skin tumors in mice initiated with benzo[a]pyrene.		Wei SJ; Chang RL; Merkler KA; Gwynne M; Cui XX; Murthy B; Huang MT; Xie JG; Lu YP; Lou YR; Jerina DM; Conney AH		Carcinogenesis	20	1999	1689-96	J:57287	10469612
87886	Gene therapy of B-cell lymphoma with cytokine gene-modified trioma cells.		Strehl J; Selmayr M; Kremer JP; Hultner L; Lindhofer H; Mocikat R		Int J Cancer	83	1999	113-20	J:57321	10449617
87887	Generation of anti-allogeneic cytotoxic T lymphocytes depends upon a signal, not delivered by tumor cells, that can be provided in trans in the presence of exogenous interleukin-2.		Zier KS; Salvadori S		Cancer Immunol Immunother	48	1999	247-52	J:57323	10478641
87888	The level of cell surface beta1,4-galactosyltransferase I influences the invasive potential of murine melanoma cells.		Johnson FM; Shur BD		J Cell Sci	112	1999	2785-95	J:57327	10413685
87889	High level antibody response to retrovirus-associated but not to melanocyte lineage-specific antigens in mice protected against B16 melanoma.		Sfondrini L; Morelli D; Bodini A; Colnaghi MI; Menard S; Balsari A		Int J Cancer	83	1999	107-12	J:57320	10449616
87890	Enhancement of tumor response to gamma-radiation by an inhibitor of cyclooxygenase-2 enzyme.		Milas L; Kishi K; Hunter N; Mason K; Masferrer JL; Tofilon PJ		J Natl Cancer Inst	91	1999	1501-4	J:57347	10469752
87891	Tumor cells cotransduced with B7.1 and gamma-IFN induce effective rejection of established parental tumor.		Yang S; Vervaert CE; Seigler HF; Darrow TL		Gene Ther	6	1999	253-62	J:57377	10435110
87892	Immunological and molecular characterization of an aggressive murine lymphoma variant: modulation in vitro and in vivo.		Jurianz K; von Hoegen P; Schirrmacher V		Int J Oncol	15	1999	71-9	J:57383	10375596
87893	Target genes and target cells in carcinogenesis.		Frame S; Balmain A		Br J Cancer	80 Suppl 1	1999	28-33	J:57407	10466758
87894	Tumour vasculature as a target for cancer therapy.		Chaplin DJ; Dougherty GJ		Br J Cancer	80 Suppl 1	1999	57-64	J:57408	10466764
87895	Difluoromethylornithine chemoprevention of epidermal carcinogenesis in K14-HPV16 transgenic mice.		Arbeit JM; Riley RR; Huey B; Porter C; Kelloff G; Lubet R; Ward JM; Pinkel D		Cancer Res	59	1999	3610-20	J:57411	10446971
87896	Oxygen tension measurements of tumors growing in mice.		Adam MF; Dorie MJ; Brown JM		Int J Radiat Oncol Biol Phys	45	1999	171-80	J:57420	10477021
87897	Selection of reversions and suppressors of a mutation in the CBF binding site of a lymphomagenic retrovirus.		Martiney MJ; Rulli K; Beaty R; Levy LS; Lenz J		J Virol	73	1999	7599-606	J:57431	10438850
87898	Differential expression of C-CAM cell adhesion molecule in prostate carcinogenesis in a transgenic mouse model [published erratum appears in J Urol 2000 Jan;163(1):253]		Pu YS; Luo W; Lu HH; Greenberg NM; Lin SH; Gingrich JR		J Urol	162	1999	892-6	J:57429	10458403
87899	Tandemization of a subregion of the enhancer sequences from SRS 19-6 murine leukemia virus associated with T-lymphoid but not other leukemias.		Granger SW; Bundy LM; Fan H		J Virol	73	1999	7175-84	J:57430	10438804
87900	Primary structure, gene expression and chromosomal mapping of rodent homologs of the MEN1 tumor suppressor gene.		Karges W; Maier S; Wissmann A; Dralle H; Dosch HM; Boehm BO		Biochim Biophys Acta	1446	1999	286-94	J:57456	10524203
87901	High levels of IL-4 and IL-10 mRNA and low levels of IL-2, IL-9 and IFN-gamma mRNA in MuLV-induced lymphomas.		Beaty RM; Rulli K; Bost KL; Pantginis J; Lenz J; Levy LS		Virology	261	1999	253-62	J:57483	10497110
87902	Turning on tumors to study cancer progression [news]		Berns A		Nat Med	5	1999	989-90	J:57506	10470069
87903	The distinct role of CD4+ and CD8+ T-cells during the anti-tumour effects of targeted superantigens.		Litton MJ; Dohlsten M; Rosendahl A; Ohlsson L; Sogaard M; Andersson J; Andersson U		Br J Cancer	81	1999	359-66	J:57541	10496366
87904	Ca2+-induced changes in energy metabolism and viability of melanoma cells.		Glass-Marmor L; Penso J; Beitner R		Br J Cancer	81	1999	219-24	J:57540	10496345
87905	Genetic dissection of X-linked interspecific hybrid placental dysplasia in congenic mouse strains.		Hemberger MC; Pearsall RS; Zechner U; Orth A; Otto S; Ruschendorf F; Fundele R; Elliott R		Genetics	153	1999	383-90	J:57551	10471720
87906	Beta-glucan, a 'specific' biologic response modifier that uses antibodies to target tumors for cytotoxic recognition by leukocyte complement receptor type 3 (CD11b/CD18).		Yan J; Vetvicka V; Xia Y; Coxon A; Carroll MC; Mayadas TN; Ross GD		J Immunol	163	1999	3045-52	J:57602	10477568
87907	Essential role of tumor necrosis factor alpha (TNF-alpha) in tumor promotion as revealed by TNF-alpha-deficient mice.		Suganuma M; Okabe S; Marino MW; Sakai A; Sueoka E; Fujiki H		Cancer Res	59	1999	4516-8	J:57606	10493498
87908	Time course for early adaptive responses to ultraviolet B light in the epidermis of SKH-1 mice.		Lu YP; Lou YR; Yen P; Mitchell D; Huang MT; Conney AH		Cancer Res	59	1999	4591-602	J:57607	10493513
87909	Distinct role of antigen-specific T helper type 1 (Th1) and Th2 cells in tumor eradication in vivo.		Nishimura T; Iwakabe K; Sekimoto M; Ohmi Y; Yahata T; Nakui M; Sato T; Habu S; Tashiro H; Sato M; Ohta A		J Exp Med	190	1999	617-27	J:57610	10477547
87910	IL-2 gene-modified tumour vaccines: monitoring of IL-2 levels in serum and peritoneal cavity of vaccinated mice.		Indrova M; Pajtasz-Piasecka E; Jandlova T; Simova J; Bubenik J; Radzikowski C		Folia Biol (Praha)	45	1999	7-11	J:53678	10732712
87911	[The study of correlation between the K-ras genotype and murine susceptibility to chemically induced lung neoplasms]		Timofeeva OA; Filipenko ML; Kaledin VI		Genetika	35	1999	1309-12	J:57706	10576066
87912	Deletion of Ku86 causes early onset of senescence in mice.		Vogel H; Lim DS; Karsenty G; Finegold M; Hasty P		Proc Natl Acad Sci U S A	96	1999	10770-5	J:57731	10485901
87913	Loss of p53 in F-MuLV induced-erythroleukemias accelerates the acquisition of mutational events that confers immortality and growth factor independence.		Wong KS; Li YJ; Howard J; Ben-David Y		Oncogene	18	1999	5525-34	J:58012	10523829
87914	In vitro and in vivo effects of a farnesyltransferase inhibitor on Nf1-deficient hematopoietic cells.		Mahgoub N; Taylor BR; Gratiot M; Kohl NE; Gibbs JB; Jacks T; Shannon KM		Blood	94	1999	2469-76	J:57842	10498620
87915	The fusion gene Cbfb-MYH11 blocks myeloid differentiation and predisposes mice to acute myelomonocytic leukaemia [letter]		Castilla LH; Garrett L; Adya N; Orlic D; Dutra A; Anderson S; Owens J; Eckhaus M; Bodine D; Liu PP		Nat Genet	23	1999	144-6	J:57880	10508507
87916	Skin tumorigenesis by initiators and promoters of different chemical structures in lines of mice selectively bred for resistance (Car-r) or susceptibility (Car-s) to two-stage skin carcinogenesis.		Saran A; Pazzaglia S; Rebessi S; Bouthillier Y; Pioli C; Covelli V; Mouton D; Doria G; Biozzi G		Int J Cancer	83	1999	335-40	J:57871	10495425
87917	Targeting HER-2/neu for active-specific immunotherapy in a mouse model of spontaneous breast cancer.		Cefai D; Morrison BW; Sckell A; Favre L; Balli M; Leunig M; Gimmi CD		Int J Cancer	83	1999	393-400	J:57872	10495433
87918	Heterotopic endochondrial ossification with mixed tumor formation in C3(1)/Tag transgenic mice is associated with elevated TGF-beta1 and BMP-2 expression.		Maroulakou IG; Shibata MA; Anver M; Jorcyk CL; Liu Ml; Roche N; Roberts AB; Tsarfaty I; Reseau J; Ward J; Green JE		Oncogene	18	1999	5435-47	J:57996	10498897
87919	Deficiency of transporter for antigen presentation (TAP) in tumor cells allows evasion of immune surveillance and increases tumorigenesis.		Johnsen AK; Templeton DJ; Sy M; Harding CV		J Immunol	163	1999	4224-31	J:57997	10510359
87920	T cell status influences colon tumor occurrence in min mice fed short chain fructo-oligosaccharides as a diet supplement.		Pierre F; Perrin P; Bassonga E; Bornet F; Meflah K; Menanteau J		Carcinogenesis	20	1999	1953-6	J:58033	10506110
87921	High, persistent hepatocellular proliferation and apoptosis precede hepatocarcinogenesis in growth hormone transgenic mice.		Snibson KJ; Bhathal PS; Hardy CL; Brandon MR; Adams TE		Liver	19	1999	242-52	J:58071	10395045
87922	Histological and genetic changes in malignant transformation of gallbladder adenoma.		Watanabe H; Date K; Itoi T; Matsubayashi H; Yokoyama N; Yamano M; Ajioka Y; Nishikura K		Ann Oncol	10 Suppl 4	1999	136-9	J:58059	10436806
87923	Prenatal transmission and pathogenicity of endogenous ecotropic murine leukemia virus Akv.		Hesse I; Luz A; Kohleisen B; Erfle V; Schmidt J		Lab Anim Sci	49	1999	488-95	J:58213	10551449
87924	Rhabdomyosarcoma--working out the pathways.		Merlino G; Helman LJ		Oncogene	18	1999	5340-8	J:58240	10498887
87925	Mouse models of prostate cancer.		Sharma P; Schreiber-Agus N		Oncogene	18	1999	5349-55	J:58241	10498888
87926	Development of a flexible and specific gene delivery system for production of murine tumor models.		Fisher GH; Orsulic S; Holland E; Hively WP; Li Y; Lewis BC; Williams BO; Varmus HE		Oncogene	18	1999	5253-60	J:58243	10498877
87927	Acute promyelocytic leukemia: from treatment to genetics and back.		Kogan SC; Bishop JM		Oncogene	18	1999	5261-7	J:58244	10498878
87928	Transgenic models of lymphoid neoplasia and development of a pan-hematopoietic vector.		Adams JM; Harris AW; Strasser A; Ogilvy S; Cory S		Oncogene	18	1999	5268-77	J:58245	10498879
87929	In vivo analysis of the molecular pathogenesis of acute promyelocytic leukemia in the mouse and its therapeutic implications.		He LZ; Merghoub T; Pandolfi PP		Oncogene	18	1999	5278-92	J:58246	10498880
87930	Mammary gland development, reproductive history, and breast cancer risk.		Chodosh LA; D'Cruz CM; Gardner HP; Ha SI; Marquis ST; Rajan JV; Stairs DB; Wang JY; Wang M		Cancer Res	59	1999	1765-1771s; discussion 1771s-1	J:44157	10197594
87931	A bumper crop of cancer genes [news; comment]		DePinho RA; Jacks T		Nat Genet	23	1999	253-4	J:58264	10545932
87932	Leukaemia disease genes: large-scale cloning and pathway predictions [see comments]		Li J; Shen H; Himmel KL; Dupuy AJ; Largaespada DA; Nakamura T; Shaughnessy JD Jr; Jenkins NA; Copeland NG		Nat Genet	23	1999	348-53	J:58265	10610183
87933	Bmi-1 collaborates with c-Myc in tumorigenesis by inhibiting c-Myc-induced apoptosis via INK4a/ARF.		Jacobs JJ; Scheijen B; Voncken JW; Kieboom K; Berns A; van Lohuizen M		Genes Dev	13	1999	2678-90	J:58291	10541554
87934	Disruption of the ARF-Mdm2-p53 tumor suppressor pathway in Myc-induced lymphomagenesis.		Eischen CM; Weber JD; Roussel MF; Sherr CJ; Cleveland JL		Genes Dev	13	1999	2658-69	J:58292	10541552
87935	INK4a/ARF mutations accelerate lymphomagenesis and promote chemoresistance by disabling p53.		Schmitt CA; McCurrach ME; de Stanchina E; Wallace-Brodeur RR; Lowe SW		Genes Dev	13	1999	2670-7	J:58293	10541553
87936	Ultraviolet and ionizing radiation enhance the growth of BCCs and trichoblastomas in patched heterozygous knockout mice.		Aszterbaum M; Epstein J; Oro A; Douglas V; LeBoit PE; Scott MP; Epstein EH Jr		Nat Med	5	1999	1285-91	J:58328	10545995
87937	Pituitary lactotroph adenomas develop after prolonged lactotroph hyperplasia in dopamine D2 receptor-deficient mice.		Asa SL; Kelly MA; Grandy DK; Low MJ		Endocrinology	140	1999	5348-55	J:58342	10537166
87938	B-cell tumorigenesis in mice carrying a yeast artificial chromosome-based immunoglobulin heavy/c-myc translocus is independent of the heavy chain intron enhancer (Emu).		Palomo C; Zou X; Nicholson IC; Butzler C; Bruggemann M		Cancer Res	59	1999	5625-8	J:58366	10554044
87939	Identification of a common site of provirus integration in radiation leukemia virus-induced T-cell lymphomas in mice.		Lambert J; Bergeron D; Kozak CA; Rassart E		Virology	264	1999	181-6	J:58403	10544143
87940	The role of lats in cell cycle regulation and tumorigenesis.		Turenchalk GS; St John MA; Tao W; Xu T		Biochim Biophys Acta	1424	1999	M9-M16	J:58428	10528150
87941	TCF transcription factors: molecular switches in carcinogenesis.		Roose J; Clevers H		Biochim Biophys Acta	1424	1999	M23-37	J:58430	10528152
87942	Many faces of ATM: eighth international workshop on ataxia-telangiectasia.		Halazonetis TD; Shiloh Y		Biochim Biophys Acta	1424	1999	R45-55	J:58431	10528155
87943	Wild-derived inbred mice have a novel basis of susceptibility to polyomavirus-induced tumors.		Velupillai P; Yoshizawa I; Dey DC; Nahill SR; Carroll JP; Bronson RT; Benjamin TL		J Virol	73	1999	10079-85	J:58441	10559322
87944	Effectiveness of a simply designed tumor vaccine in prevention of malignant melanoma development.		Novakovic S; Ihan A; Jezersek B		Jpn J Cancer Res	90	1999	1130-8	J:58478	10595742
87945	Antitumor efficacy of hypothemycin, a new Ras-signaling inhibitor.		Tanaka H; Nishida K; Sugita K; Yoshioka T		Jpn J Cancer Res	90	1999	1139-45	J:58479	10595743
87946	Enhanced sonodynamic antitumor effect of ultrasound in the presence of nonsteroidal anti-inflammatory drugs.		Sakusabe N; Okada K; Sato K; Kamada S; Yoshida Y; Suzuki T		Jpn J Cancer Res	90	1999	1146-51	J:58480	10595744
87947	In vivo anti-tumor activity of a novel indolocarbazole compound, J-107088, on murine and human tumors transplanted into mice.		Arakawa H; Morita M; Kodera T; Okura A; Ohkubo M; Morishima H; Nishimura S		Jpn J Cancer Res	90	1999	1163-70	J:58481	10595746
87948	Generation of B lymphoma cell lines from knockout mice by transformation in vivo with an Emu-myc transgene.		Corcoran LM; Tawfilis S; Barlow LJ		J Immunol Methods	228	1999	131-8	J:58472	10556550
87949	The downregulation of the pro-apoptotic protein Par-4 is critical for Ras-induced survival and tumor progression.		Barradas M; Monjas A; Diaz-Meco MT; Serrano M; Moscat J		EMBO J	18	1999	6362-9	J:58507	10562548
87950	c-Myc enhances protein synthesis and cell size during B lymphocyte development.		Iritani BM; Eisenman RN		Proc Natl Acad Sci U S A	96	1999	13180-5	J:58511	10557294
87951	Restricted immunoglobulin variable region (Ig V) gene expression accompanies secondary rearrangements of light chain Ig V genes in mouse plasmacytomas.		Diaw L; Siwarski D; Coleman A; Kim J; Jones GM; Dighiero G; Huppi K		J Exp Med	190	1999	1405-16	J:58492	10562316
87952	The p66shc adaptor protein controls oxidative stress response and life span in mammals [see comments]		Migliaccio E; Giorgio M; Mele S; Pelicci G; Reboldi P; Pandolfi PP; Lanfrancone L; Pelicci PG		Nature	402	1999	309-13	J:58535	10580504
87953	Accumulation of premutagenic DNA lesions in mice defective in removal of oxidative base damage.		Klungland A; Rosewell I; Hollenbach S; Larsen E; Daly G; Epe B; Seeberg E; Lindahl T; Barnes DE		Proc Natl Acad Sci U S A	96	1999	13300-5	J:58517	10557315
87954	Syncytiotrophoblastic giant cells in teratocarcinoma-like tumors derived from Parp-disrupted mouse embryonic stem cells.		Nozaki T; Masutani M; Watanabe M; Ochiya T; Hasegawa F; Nakagama H; Suzuki H; Sugimura T		Proc Natl Acad Sci U S A	96	1999	13345-50	J:58519	10557323
87955	Synergistic inhibition of tumor growth in a murine mammary adenocarcinoma model by combinational gene therapy using IL-12, pro-IL-18, and IL-1beta converting enzyme cDNA.		Oshikawa K; Shi F; Rakhmilevich AL; Sondel PM; Mahvi DM; Yang NS		Proc Natl Acad Sci U S A	96	1999	13351-6	J:58520	10557324
87956	Transgenic mice overexpressing protein kinase Cdelta in the epidermis are resistant to skin tumor promotion by 12-O-tetradecanoylphorbol-13-acetate.		Reddig PJ; Dreckschmidt NE; Ahrens H; Simsiman R; Tseng CP; Zou J; Oberley TD; Verma AK		Cancer Res	59	1999	5710-8	J:58557	10582689
87957	Accelerated mammary tumor development in mutant polyomavirus middle T transgenic mice expressing elevated levels of either the Shc or Grb2 adapter protein.		Rauh MJ; Blackmore V; Andrechek ER; Tortorice CG; Daly R; Lai VK; Pawson T; Cardiff RD; Siegel PM; Muller WJ		Mol Cell Biol	19	1999	8169-79	J:58608	10567542
87958	Interactions between progestins and heregulin (HRG) signaling pathways: HRG acts as mediator of progestins proliferative effects in mouse mammary adenocarcinomas		Balana ME; Lupu R; Labriola L; Charreau EH; Elizalde PV		Oncogene	18	1999	6370-9	J:58616	10597237
87959	Activation of Hex and mEg5 by retroviral insertion may contribute to mouse B-cell leukemia.		Hansen GM; Justice MJ		Oncogene	18	1999	6531-9	J:58689	10597256
87960	Immune evasion of tumor cells using membrane-bound complement regulatory proteins.		Gorter A; Meri S		Immunol Today	20	1999	576-82	J:58717	10562709
87961	Loss of anti-mitotic effects of Bcl-2 with retention of anti-apoptotic activity during tumor progression in a mouse model.		Furth PA; Bar-Peled U; Li M; Lewis A; Laucirica R; Jager R; Weiher H; Russell RG		Oncogene	18	1999	6589-96	J:58751	10597263
87962	Carcinogenesis in mice after injection of soluble plutonium citrate.		Oghiso Y; Yamada Y		Radiat Res	152	1999	S27-30	J:58818	10564931
87963	Allelic loss and promoter hypermethylation of the p15INK4b gene features in mouse radiation-induced lymphoid - but not myeloid - leukaemias.		Cleary HJ; Boulton E; Plumb M		Leukemia	13	1999	2049-52	J:58858	10602427
87964	Homozygous deletions and point mutations of the Ikaros gene in gamma-ray-induced mouse thymic lymphomas.		Okano H; Saito Y; Miyazawa T; Shinbo T; Chou D; Kosugi S; Takahashi Y; Odani S; Niwa O; Kominami R		Oncogene	18	1999	6677-83	J:58869	10597273
87965	Reduced ultraviolet-induced carcinogenesis in mice with a functional disruption in B7-mediated costimulation.		Beissert S; Bluestone JA; Mindt I; Voskort M; Metze D; Mehling A; Luger TA; Schwarz T; Grabbe S		J Immunol	163	1999	6725-31	J:58983	10586070
87966	Oppositely imprinted genes p57(Kip2) and igf2 interact in a mouse model for Beckwith-Wiedemann syndrome.		Caspary T; Cleary MA; Perlman EJ; Zhang P; Elledge SJ; Tilghman SM		Genes Dev	13	1999	3115-24	J:58998	10601037
87967	Glycoprotein glycosylation and cancer progression.		Dennis JW; Granovsky M; Warren CE		Biochim Biophys Acta	1473	1999	21-34	J:59033	10580127
87968	Myeloproliferative disorder and leukaemia in mice induced by different classes of constitutive mutants of the human IL-3/IL-5/GM-CSF receptor common beta subunit.		McCormack MP; Gonda TJ		Oncogene	18	1999	7190-9	J:59018	10602472
87969	Vaccines with interleukin-12-transduced acute myeloid leukemia cells elicit very potent therapeutic and long-lasting protective immunity.		Dunussi-Joannopoulos K; Runyon K; Erickson J; Schaub RG; Hawley RG; Leonard JP		Blood	94	1999	4263-73	J:59019	10590071
87970	Treatment of multidrug resistant (MDR1) murine leukemia with P-glycoprotein substrates accelerates the course of the disease.		Yang JM; Yang GY; Medina DJ; Vassil AD; Liao J; Hait WN		Biochem Biophys Res Commun	266	1999	167-73	J:59020	10581184
87971	Increased expression of p50-NF-kappaB and constitutive activation of NF-kappaB transcription factors during mouse skin carcinogenesis		Budunova IV; Perez P; Vaden VR; Spiegelman VS; Slaga TJ; Jorcano JL		Oncogene	18	1999	7423-31	J:59023	10602501
87972	Protein tyrosine phosphatase epsilon increases the risk of mammary hyperplasia and mammary tumors in transgenic mice		Elson A		Oncogene	18	1999	7535-42	J:59024	10602512
87973	A subset of skin tumor modifier loci determines survival time of tumor-bearing mice		Nagase H; Mao JH; Balmain A		Proc Natl Acad Sci U S A	96	1999	15032-7	J:59049	10611333
87974	Difference in target organs in carcinogenesis with a heterocyclic amine, 2-amino-3,4-dimethylimidazo[4,5-f]quinoline, in different strains of mice.		Fujita H; Nagano K; Ochiai M; Ushijima T; Sugimura T; Nagao M; Matsushima T		Jpn J Cancer Res	90	1999	1203-6	J:59210	10622529
87975	Gastric hyperplasia in mice lacking the putative cdc42 effector IQGAP1		Li S; Wang Q; Chakladar A; Bronson RT; Bernards A		Mol Cell Biol	20	2000	697-701	J:59215	10611248
87976	Dependence of autocrine growth factor stimulation in platelet-derived growth factor-B-induced mouse brain tumor cells.		Uhrbom L; Hesselager G; Ostman A; Nister M; Westermark B		Int J Cancer	85	2000	398-406	J:59242	10652433
87977	Effects of Fas-mediated liver cell apoptosis on diethylnitrosamine-induced hepatocarcinogenesis in mice.		Hara A; Yoshimi N; Yamada Y; Matsunaga K; Kawabata K; Sugie S; Mori H		Br J Cancer	82	2000	467-71	J:59293	10646906
87978	Breast cancer incidence highest in the range of one species of house mouse, Mus domesticus [see comments]		Stewart TH; Sage RD; Stewart AF; Cameron DW		Br J Cancer	82	2000	446-51	J:59294	10646903
87979	The hedgehog signalling pathway in tumorigenesis and development.		Wicking C; Smyth I; Bale A		Oncogene	18	1999	7844-51	J:59339	10630637
87980	Gli genes in development and cancer.		Matise MP; Joyner AL		Oncogene	18	1999	7852-9	J:59340	10630638
87981	The retinoblastoma gene family in differentiation and development.		Lipinski MM; Jacks T		Oncogene	18	1999	7873-82	J:59341	10630640
87982	The role of cyclooxygenases in inflammation, cancer, and development.		Williams CS; Mann M; DuBois RN		Oncogene	18	1999	7908-16	J:59342	10630643
87983	Susceptibility to urethane carcinogenesis of transgenic mice carrying a human prototype c-Ha-ras gene (rasH2 mice) and its modification by butylhydroxytoluene.		Umemura T; Kodama Y; Hioki K; Inoue T; Nomura T; Kurokawa Y		Cancer Lett	145	1999	101-6	J:59515	10530776
87984	Inhibitory effects of chlorophyllin on 7,12-dimethylbenz[a]anthracene-induced bacterial mutagenesis and mouse skin carcinogenesis.		Chung WY; Lee JM; Park MY; Yook JI; Kim J; Chung AS; Surh YJ; Park KK		Cancer Lett	145	1999	57-64	J:59516	10530770
87985	Elimination of residual metastatic prostate cancer after surgery and adjunctive cytotoxic T lymphocyte-associated antigen 4 (CTLA-4) blockade immunotherapy		Kwon ED; Foster BA; Hurwitz AA; Madias C; Allison JP; Greenberg NM; Burg MB		Proc Natl Acad Sci U S A	96	1999	15074-9	J:59573	10611340
87986	Methylation and downregulated expression of mac25/insulin-like growth factor binding protein-7 is associated with liver tumorigenesis in SV40T/t antigen transgenic mice, screened by restriction landmark genomic scanning for methylation (RLGS-M).		Komatsu S; Okazaki Y; Tateno M; Kawai J; Konno H; Kusakabe M; Yoshiki A; Muramatsu M; Held WA; Hayashizaki Y		Biochem Biophys Res Commun	267	2000	109-17	J:59383	10623583
87987	The hallmarks of cancer.		Hanahan D; Weinberg RA		Cell	100	2000	57-70	J:59369	10647931
87988	Carcinogenicity and mutagenicity of heterocyclic amines in transgenic mouse models.		Thorgeirsson SS; Ryu DY; Weidner V; Synderwine EG		Cancer Lett	143	1999	245-7	J:59438	10503912
87989	Promotional effects of CO(2) laser and scalpel incision on 4-NQO-induced premalignant lesions of mouse tongue.		Ma G; Sano K; Ikeda H; Inokuchi T		Lasers Surg Med	25	1999	207-12	J:59439	10495296
87990	Chronic peroxisome proliferation and hepatomegaly associated with the hepatocellular tumorigenesis of di(2-ethylhexyl)phthalate and the effects of recovery.		David RM; Moore MR; Cifone MA; Finney DC; Guest D		Toxicol Sci	50	1999	195-205	J:59450	10478855
87991	Modulatory potential of clocimum oil on mouse skin papillomagenesis and the xenobiotic detoxication system.		Singh A; Singh SP; Bamezai R		Food Chem Toxicol	37	1999	663-70	J:59451	10478835
87992	The patched signaling pathway in tumorigenesis and development: lessons from animal models.		Hahn H; Wojnowski L; Miller G; Zimmer A		J Mol Med	77	1999	459-68	J:59453	10475061
87993	Role of the prostaglandin E receptor subtype EP1 in colon carcinogenesis.		Watanabe K; Kawamori T; Nakatsugi S; Ohta T; Ohuchida S; Yamamoto H; Maruyama T; Kondo K; Ushikubi F; Narumiya S; Sugimura T; Wakabayashi K		Cancer Res	59	1999	5093-6	J:59509	10537280
87994	Compensatory lung growth after partial pneumonectomy enhances lung tumorigenesis induced by 3-methylcholanthrene.		Brown LM; Malkinson AM; Rannels DE; Rannels SR		Cancer Res	59	1999	5089-92	J:59510	10537279
87995	Tumor burden and clonality in multiple intestinal neoplasia mouse/normal mouse aggregation chimeras.		Novelli MR; Wasan H; Rosewell I; Bee J; Tomlinson IP; Wright NA; Bodmer WF		Proc Natl Acad Sci U S A	96	1999	12553-8	J:59511	10535960
87996	Physiological roles of matrix metalloproteinases: implications for tumor growth and metastasis.		Forget MA; Desrosiers RR; Beliveau R		Can J Physiol Pharmacol	77	1999	465-80	J:59512	10535707
